laudo,linha_texto,secao_detectada,item_detectado,status_original,categoria_sugerida,prioridade_sugerida,observacao_extraida,responsavel,status_correcao,evidencia_correcao,data_limite,status_original_norm,escola_curta,is_open,disciplina_detectada,is_arquitetura,status_exibicao,tipo_trabalho,complexidade,dono_sugerido,pacote_entrega,acao_sugerida,esforco_score,tags_operacionais,o_que_fazer,como_no_revit,evidencia_esperada,imagem_preview_relpath,imagem_origem_pdf,imagem_origem_pagina,imagem_confianca,problema_resumo
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,48,MATERIAL FASE CONFORME,1.1,NÃO,documento_ausente,P1,PROJ. 1.1 ART DOCUMENTO NÃO Item não apresentado. BÁSICO Levantamento PROJ. 1.2 RELATÓRIO NÃO Item não apresentado. técnico1 BÁSICO,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,outros,false,desativado_nao_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,2,documentos assinados,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: validar item na vista correspondente, corrigir modelo/prancha e reemitir PDF de revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p001.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,1,alta,PROJ. 1.1 ART DOCUMENTO NÃO Item não apresentado. BÁSICO Levantamento PROJ. 1.2 RELATÓRIO NÃO Item não apresentado. técnico1 BÁSICO
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,51,MATERIAL FASE CONFORME,1.2,NÃO,documento_ausente,P1,"Levantamento PROJ. 1.2 RELATÓRIO NÃO Item não apresentado. técnico1 BÁSICO Levantamento planialtimétrico, 1. Não foi apresentado a peça gráfica em .pdf, apenas arquivo editável; delimitação do PROJ. 2. Falta representação de itens urbanos existentes (vias, iluminação, esgoto, etc);",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,hidrossanitario,false,desativado_nao_arquitetura,documental,E2 médio,coordenação/documentação,documentos assinados,apresentar documento,3,documentos assinados;implantação/topografia,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: conferir rede e pontos de drenagem/água/esgoto, ajustar representação em planta e cortes, e emitir revisão das folhas.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p001.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,1,alta,"Levantamento PROJ. 1.2 RELATÓRIO NÃO Item não apresentado. técnico1 BÁSICO Levantamento planialtimétrico, 1. Não foi apresentado a peça gráfica em .pdf, apenas arquivo editável; delimitação do PROJ. 2. Falta representação de itens urbanos existentes (vias, ilu"
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,56,MATERIAL FASE CONFORME,1.3,NÃO,implantacao,P2,"delimitação do PROJ. 2. Falta representação de itens urbanos existentes (vias, iluminação, esgoto, etc); 1.3 DESENHO NÃO terreno e locação BÁSICO 3. Faltam informações de área do terreno; de elementos 4. Inserir coordenadas. existentes Projeto de PROJ.",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,hidrossanitario,false,desativado_nao_arquitetura,modelagem,E2 médio,arquitetura,implantação/topografia,triagem técnica,4,implantação/topografia,Fazer triagem técnica e definir ação objetiva para fechar o apontamento.,"No Revit 2025: conferir rede e pontos de drenagem/água/esgoto, ajustar representação em planta e cortes, e emitir revisão das folhas.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p001.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,1,alta,"delimitação do PROJ. 2. Falta representação de itens urbanos existentes (vias, iluminação, esgoto, etc); 1.3 DESENHO NÃO terreno e locação BÁSICO 3. Faltam informações de área do terreno; de elementos 4. Inserir coordenadas. existentes Projeto de PROJ."
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,66,MATERIAL FASE CONFORME,1.5,NÃO,documento_ausente;cotas_niveis,P1,"PROJ. 1.5 observações, DESENHO NÃO Item não apresentado. BÁSICO indicações e cotas Representação",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,2,documentos assinados,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p002.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,2,alta,"PROJ. 1.5 observações, DESENHO NÃO Item não apresentado. BÁSICO indicações e cotas Representação"
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,72,MATERIAL FASE CONFORME,1.6,NÃO,documento_ausente;grafico_prancha;orcamento,P1,PROJ. 1.6 gráfica e DESENHO NÃO Item não apresentado. BÁSICO carimbos Planilha PROJ. 1.7 TABELA N/A Deverá ser apresentado junto ao projeto executivo.,,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,arquitetura,true,ativo_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,2,documentos assinados;orçamento/executivo,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: abra a vista da prancha afetada, ajuste cotas/legenda/carimbo, valide em planta+corte e reexporte PDF da revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p002.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,2,alta,PROJ. 1.6 gráfica e DESENHO NÃO Item não apresentado. BÁSICO carimbos Planilha PROJ. 1.7 TABELA N/A Deverá ser apresentado junto ao projeto executivo.
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,76,MATERIAL FASE CONFORME,1.7,N/A,orcamento,P3,Planilha PROJ. 1.7 TABELA N/A Deverá ser apresentado junto ao projeto executivo. quantitativa EXECUTIVO SONDAGEM E 2 MATERIAL FASE CONFORME OBSERVAÇÕES GEOTECNIA,,futuro_executivo_ou_nao_aplica,,,N/A,SINOP - E E SANTA CECÍLIA,False,estrutura,false,desativado_nao_arquitetura,orçamento,E1 rápido,estrutura,implantação/topografia,revisar orçamento,0,implantação/topografia;orçamento/executivo,Atualizar quantitativos e composição no orçamento para alinhar com o projeto corrigido.,"No Revit 2025: revise vistas estruturais, verifique host/níveis e inconsistências entre detalhamento e implantação, depois reemitir folhas estruturais.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p002.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,2,alta,Planilha PROJ. 1.7 TABELA N/A Deverá ser apresentado junto ao projeto executivo. quantitativa EXECUTIVO SONDAGEM E 2 MATERIAL FASE CONFORME OBSERVAÇÕES GEOTECNIA
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,82,MATERIAL FASE CONFORME,2.1,NÃO,implantacao,P2,"PROJ. Foi apresentado apenas um furo de sondagem para o terreno em questão, não 2.1 ART DOCUMENTO NÃO BÁSICO atendendo ao número mínimo de sondagens estabelecido pela NBR 8036:1983. Projeto de",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,estrutura,false,desativado_nao_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,2,documentos assinados;implantação/topografia,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: revise vistas estruturais, verifique host/níveis e inconsistências entre detalhamento e implantação, depois reemitir folhas estruturais.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p002.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,2,alta,"PROJ. Foi apresentado apenas um furo de sondagem para o terreno em questão, não 2.1 ART DOCUMENTO NÃO BÁSICO atendendo ao número mínimo de sondagens estabelecido pela NBR 8036:1983. Projeto de"
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,91,MATERIAL FASE CONFORME,2.2,NÃO,implantacao,P2,"PROJ. Foi apresentado apenas um furo de sondagem para o terreno em questão, não 2.2 locação dos furos DESENHO NÃO BÁSICO atendendo ao número mínimo de sondagens estabelecido pela NBR 8036:1983 da sondagem",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,estrutura,false,desativado_nao_arquitetura,normativo,E2 médio,arquitetura,implantação/topografia,revisar norma,4,implantação/topografia,"Revisar item normativo aplicável, ajustar solução e atualizar referência técnica no memorial/prancha.","No Revit 2025: revise vistas estruturais, verifique host/níveis e inconsistências entre detalhamento e implantação, depois reemitir folhas estruturais.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p002.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,2,alta,"PROJ. Foi apresentado apenas um furo de sondagem para o terreno em questão, não 2.2 locação dos furos DESENHO NÃO BÁSICO atendendo ao número mínimo de sondagens estabelecido pela NBR 8036:1983 da sondagem"
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,120,MATERIAL FASE CONFORME,2.3,NÃO,implantacao,P2,"PROJ. Foi apresentado apenas um furo de sondagem para o terreno em questão, não 2.3 ensaio de MEMORIAL NÃO BÁSICO atendendo ao número mínimo de sondagens estabelecido pela NBR 8036:1983 sondagem Ensaio de infiltração de",,aberto,,,NAO,SINOP - E E SANTA CECÍLIA,True,estrutura,false,desativado_nao_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,2,documentos assinados;implantação/topografia,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: revise vistas estruturais, verifique host/níveis e inconsistências entre detalhamento e implantação, depois reemitir folhas estruturais.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p002.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,2,alta,"PROJ. Foi apresentado apenas um furo de sondagem para o terreno em questão, não 2.3 ensaio de MEMORIAL NÃO BÁSICO atendendo ao número mínimo de sondagens estabelecido pela NBR 8036:1983 sondagem Ensaio de infiltração de"
001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,134,MATERIAL FASE CONFORME,3.1,N/A,triagem_manual,P3,"PROJ. 3.1 ART/RRT DOCUMENTO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO 1. Memorial indica Academia ao ar livre, entretanto, o espaço não foi representado em planta; 2. Ajustar o município;",,futuro_executivo_ou_nao_aplica,,,N/A,SINOP - E E SANTA CECÍLIA,False,outros,false,desativado_nao_arquitetura,documental,E1 rápido,coordenação/documentação,documentos assinados,apresentar documento,0,documentos assinados;orçamento/executivo,Juntar e anexar o documento faltante no pacote da disciplina com assinatura e identificação técnica.,"No Revit 2025: validar item na vista correspondente, corrigir modelo/prancha e reemitir PDF de revisão.",Prancha/PDF revisado com item rastreável e observação de fechamento.,assets/previews/001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS__p003.jpg,001-2026 - JUNT - SINOP - E E SANTA CECÍLIA ASS,3,alta,"PROJ. 3.1 ART/RRT DOCUMENTO N/A Deverá ser apresentado junto ao projeto executivo. EXECUTIVO 1. Memorial indica Academia ao ar livre, entretanto, o espaço não foi representado em planta; 2. Ajustar o município;"
